claim_id,customer_id,policy_number,claim_type,incident_date,filed_date,closed_date,amount_requested,reserved_amount,amount_paid,claim_status,fraud_flag,assigned_adjuster,processing_days,notes
CLM-2025-00013,CUST-2009,AUTO-847392,auto_collision,2024-10-22,2024-10-28,2024-11-20,5400.0,5200.0,4950.0,closed_approved,False,AGT-112,23,Front‑end collision damage validated by photos and repair estimate within the policy’s collision limit and $750 deductible.
CLM-2025-00014,CUST-3014,AUTO-240702,auto_comprehensive,2024-09-05,2024-09-10,2024-10-05,3100.0,3000.0,2750.0,closed_approved,False,AGT-104,25,Hail damage assessment aligned with enhanced comprehensive coverage and applied $250 deductible.
CLM-2025-00015,CUST-1012,AUTO-240614,auto_collision,2024-07-18,2024-07-28,2024-08-22,7800.0,7000.0,0.0,closed_denied,False,AGT-117,25,Claim denied due to suspended policy status at time of loss.
CLM-2025-00016,CUST-0058,HEALTH-510018,health_surgery,2024-11-02,2024-11-04,2024-11-25,9200.0,9000.0,9000.0,closed_approved,False,AGT-093,21,Routine knee arthroscopy verified with provider billing and paid within medical coverage limit.
CLM-2025-00017,CUST-9219,HOME-210925,home_fire,2024-08-11,2024-08-18,2024-09-12,14400.0,14000.0,13800.0,closed_approved,False,AGT-101,25,Kitchen‑area smoke damage matched fire inspector report under standard home coverage cap.
CLM-2025-00018,CUST-9142,HOME-004052,home_fire,2024-06-21,2024-06-28,2024-07-22,9800.0,9500.0,9500.0,closed_approved,False,AGT-106,24,Electrical‑source fire confirmed by licensed inspector consistent with premium tier liability protection.
CLM-2025-00019,CUST-0016,HEALTH-202406,health_surgery,2023-10-11,2023-10-13,2023-11-06,13200.0,13000.0,13000.0,closed_approved,False,AGT-111,24,Appendectomy billing aligned with premium medical coverage and validated by provider documentation.
CLM-2025-00020,CUST-1007,HEALTH-202402,health_surgery,2024-10-03,2024-10-04,2024-10-28,4800.0,4600.0,4600.0,closed_approved,False,AGT-104,24,Outpatient hernia operation billed accurately within basic coverage limit.
CLM-2025-00021,CUST-1024,AUTO-240603,auto_collision,2024-09-12,2024-09-18,2024-10-12,6200.0,6000.0,4500.0,closed_approved,False,AGT-109,24,Rear‑impact repair estimate reduced by $1500 collision deductible under basic tier.
CLM-2025-00022,CUST-3025,HOME-006432,home_fire,2024-05-14,2024-05-21,2024-06-15,4100.0,3900.0,3900.0,closed_approved,False,AGT-095,25,Minor laundry‑room fire damage supported by photos and contractor report within standard coverage cap.
CLM-2025-00023,CUST-1617,HOME-002123,home_fire,2024-04-18,2024-04-25,2024-05-15,7500.0,7200.0,7200.0,closed_approved,False,AGT-100,20,Basement wiring fire corroborated by electrician’s report consistent with tier limits.
CLM-2025-00024,CUST-8026,HEALTH-441803,health_surgery,2024-09-09,2024-09-11,2024-10-01,6100.0,6000.0,6000.0,closed_approved,False,AGT-118,20,Gallbladder procedure billing validated under standard medical coverage.
CLM-2025-00025,CUST-7406,AUTO-241105,auto_comprehensive,2024-08-25,2024-09-01,2024-09-30,1800.0,1700.0,950.0,closed_approved,False,AGT-097,29,Windshield replacement approved with $750 comprehensive deductible applied.
CLM-2025-00026,CUST-3017,HOME-942381,home_fire,2024-02-27,2024-03-05,2024-03-20,5200.0,0.0,0.0,closed_denied,False,AGT-120,15,Claim denied because the policy had lapsed prior to reported fire event.
CLM-2025-00027,CUST-0071,AUTO-012950,auto_collision,2024-10-12,2024-10-21,2024-11-14,3900.0,3800.0,3050.0,closed_approved,False,AGT-103,24,Side‑panel damage consistent with scene photos; $750 deductible applied.
CLM-2025-00028,CUST-1016,AUTO-230416,auto_comprehensive,2024-04-23,2024-04-30,2024-05-25,2500.0,2400.0,1650.0,closed_approved,False,AGT-110,25,Vandalism scratches verified by inspection; payout reflects $750 comprehensive deductible.
CLM-2025-00029,CUST-2911,AUTO-301982,auto_collision,2024-04-09,2024-04-18,2024-05-08,8400.0,0.0,0.0,closed_denied,True,AGT-117,20,"SIU flagged inconsistent repair‑shop invoices from a blacklisted vendor, placing payout on permanent hold."
CLM-2025-00030,CUST-4637,AUTO-202417,auto_comprehensive,2024-03-18,2024-03-25,2024-04-10,1500.0,0.0,0.0,closed_denied,False,AGT-099,16,Claim denied because policy was cancelled before date of loss.
CLM-2025-00031,CUST-1011,AUTO-240613,auto_collision,2024-09-20,2024-09-27,,5100.0,5000.0,0.0,open,False,AGT-104,14,Claim under active review pending supplemental repair documentation.
CLM-2025-00032,CUST-1012,AUTO-230412,auto_comprehensive,2024-11-01,2024-11-08,2024-12-01,2700.0,2600.0,1600.0,closed_approved,False,AGT-112,23,Theft of side mirrors documented; payout reduced per $1000 comprehensive deductible.
CLM-2025-00033,CUST-0061,AUTO-510021,auto_collision,2024-10-19,2024-10-28,2024-11-18,4600.0,4500.0,4000.0,closed_approved,False,AGT-093,21,Low‑speed rear damage consistent with photos and covered under standard collision terms with $500 deductible.
CLM-2025-00101,CUST-7278,AUTO-007482,auto_collision,2024-11-12,2024-11-20,2024-12-15,8200.0,8500.0,8200.0,closed_approved,False,AGT-103,25,Rear‑end impact confirmed by photos; payout applied after $500 collision deductible under premium auto tier.
CLM-2025-00102,CUST-9225,HEALTH-310931,health_surgery,2024-10-02,2024-10-04,2024-10-25,12400.0,13000.0,12400.0,closed_approved,False,AGT-111,21,Procedure billing validated; covered within medical payments limit under premium health plan.
CLM-2025-00103,CUST-8016,AUTO-234909,auto_comprehensive,2024-08-18,2024-08-26,2024-09-12,3600.0,3800.0,3600.0,closed_approved,False,AGT-097,17,Windshield damage from storm confirmed; payout applied post $250 comprehensive deductible.
CLM-2025-00104,CUST-1001,AUTO-240612,auto_collision,2024-04-12,2024-04-20,2024-04-28,2900.0,2900.0,0.0,closed_denied,False,AGT-106,8,Claim denied due to policy lapse prior to incident date.
CLM-2025-00105,CUST-8701,AUTO-240101,auto_collision,2024-09-05,2024-09-10,2024-09-30,5100.0,5300.0,5100.0,closed_approved,False,AGT-118,20,Low‑speed intersection collision verified; payout within collision limit after $1000 deductible.
CLM-2025-00106,CUST-0014,HOME-820739,home_fire,2024-11-09,2024-11-15,2024-12-12,18400.0,19000.0,18400.0,closed_approved,False,AGT-099,27,Kitchen fire damage confirmed by inspector; payout within premium home liability caps.
CLM-2025-00107,CUST-0031,AUTO-000702,auto_comprehensive,2024-10-25,2024-11-01,2024-11-20,1800.0,2000.0,1800.0,closed_approved,False,AGT-104,19,Theft of side mirrors verified; payout reflects $1000 comprehensive deductible.
CLM-2025-00108,CUST-3008,AUTO-684903,auto_collision,2024-07-19,2024-07-25,2024-08-14,6900.0,7200.0,6900.0,closed_approved,False,AGT-112,20,Impact with guardrail substantiated; payout applied after $750 collision deductible.
CLM-2025-00109,CUST-9007,HOME-672107,home_fire,2024-08-22,2024-08-28,2024-09-18,5200.0,5500.0,5200.0,closed_approved,False,AGT-101,21,Minor electrical fire confirmed in garage; payout within basic home coverage.
CLM-2025-00110,CUST-1010,AUTO-902351,auto_comprehensive,2024-06-25,2024-07-02,2024-07-20,2400.0,2600.0,2400.0,closed_approved,False,AGT-095,18,Broken rear window from vandalism validated; payout applied after $500 comprehensive deductible.
CLM-2025-00111,CUST-1201,AUTO-202406,auto_collision,2024-11-14,2024-11-20,,4300.0,4500.0,0.0,open,False,AGT-117,14,Claim under review pending second repair estimate from vendor.
CLM-2025-00112,CUST-8015,AUTO-234911,auto_comprehensive,2024-02-10,2024-02-13,2024-02-28,1500.0,1500.0,0.0,closed_denied,False,AGT-099,15,Denied because policy was cancelled before incident date.
CLM-2025-00113,CUST-1105,HOME-293849,home_fire,2024-05-11,2024-05-15,2024-06-08,7600.0,8000.0,7600.0,closed_approved,False,AGT-120,24,Fire damage to attic verified; payout aligns with basic home tier liability limits.
CLM-2025-00114,CUST-0033,AUTO-000705,auto_collision,2024-10-01,2024-10-05,2024-10-26,5800.0,6000.0,5800.0,closed_approved,False,AGT-109,21,Collision damage corroborated by dashcam; deductible of $1000 applied.
CLM-2025-00115,CUST-8814,AUTO-241113,auto_comprehensive,2024-09-20,2024-09-28,2024-10-14,2100.0,2300.0,2100.0,closed_approved,False,AGT-103,16,Hail damage validated by adjuster; payout after $1000 comprehensive deductible.
CLM-2025-00116,CUST-1016,HOME-240618,home_fire,2024-12-01,2024-12-06,,18400.0,19500.0,0.0,open,True,AGT-110,10,SIU reviewing contractor invoice anomalies; payout on hold pending vendor audit.
CLM-2025-00117,CUST-2197,AUTO-202414,auto_collision,2024-10-11,2024-10-20,2024-11-15,3400.0,3600.0,3400.0,closed_approved,False,AGT-097,26,Side‑impact damage supported by photographs; payout following $1000 deductible.
