vendor_id,vendor_type,business_name,license_number,license_state,license_expiry,rating,total_claims_processed,avg_estimate_accuracy,contact_phone,address,city,state,zip,last_audit_date,audit_status,notes
VND-000,repair_shop,Chesapeake EV Collision Center,MD-SHOP-4821,MD,2027-04-30,4.3,1850,0.93,410-555-2184,6420 Eastern Ave,Baltimore,MD,21224,2024-07-18,passed,EV-certified collision team with OEM aluminum repair capability. Covers MD and parts of southern PA.
VND-001,medical_provider,Potomac Ortho & Rehab,MD-MED-7742,MD,2028-02-15,4.4,960,0.96,301-555-9044,8821 Rockville Pike,Rockville,MD,20850,2024-05-10,passed,Orthopedic rehab with strong telehealth intake workflow. Supports DC metro referrals.
VND-002,repair_shop,Richmond Auto Body Specialists,MD-SHOP-1284,VA,2026-11-19,4.0,2200,0.91,804-555-7711,3300 Broad St,Richmond,VA,23220,2024-03-22,passed,Full-frame and unibody repair focus. Serves central VA with quick cycle times.
VND-003,medical_provider,Capitol Region Urgent TeleCare,MD-MED-6619,DC,2027-09-01,4.2,540,0.95,202-555-0472,1200 New Jersey Ave SE,Washington,DC,20003,2024-06-09,passed,Telehealth triage center with extended evening coverage. Supports MD and VA spillover cases.
VND-004,repair_shop,Allegheny Glass & Calibration,MD-SHOP-5592,PA,2026-12-12,3.5,680,0.88,412-555-8033,415 Liberty Ave,Pittsburgh,PA,15222,2024-08-14,conditional,ADAS calibration and glass repair. Documentation refresh scheduled in 45 days.
VND-005,medical_provider,Susquehanna Physical Therapy Network,MD-MED-2104,PA,2028-03-05,4.1,1300,0.94,717-555-1440,200 Market St,Harrisburg,PA,17101,2024-04-16,passed,Multi-clinic PT network supporting post-accident mobility cases across PA.
VND-006,repair_shop,Fairfax Hybrid Repair Group,MD-SHOP-3345,VA,2027-01-20,4.5,2600,0.94,703-555-6621,10420 Main St,Fairfax,VA,22030,2024-03-30,passed,Hybrid drivetrain specialists with OEM Toyota/Lexus certifications.
VND-007,medical_provider,Baltimore Neuromuscular Clinic,MD-MED-8902,MD,2029-10-11,4.8,3100,0.98,410-555-9922,900 N Broadway,Baltimore,MD,21205,2024-02-04,passed,Elite partner providing high-accuracy neurological evaluations with rapid report turnaround.
VND-008,repair_shop,District Collision & Paint,MD-SHOP-7754,DC,2026-08-23,4.2,1400,0.9,202-555-1184,700 Rhode Island Ave NE,Washington,DC,20002,2024-04-12,passed,Urban-focused repair shop with strong turnaround for minor-to-moderate collisions.
VND-009,medical_provider,Northern VA Imaging & Diagnostics,MD-MED-5530,VA,2027-05-30,3.3,480,0.89,571-555-8704,4800 Lee Hwy,Arlington,VA,22207,2024-09-09,conditional,Needs improved documentation consistency; remediation plan filed with QA team.
VND-010,repair_shop,Steel City Frame & Axle,MD-SHOP-9130,PA,2027-06-30,4.1,1700,0.92,412-555-3998,2200 Carson St,Pittsburgh,PA,15203,2024-05-18,passed,Heavy-frame specialists with quick scheduling for commercial fleet cases.
VND-011,medical_provider,DC Integrated Spine Center,MD-MED-1022,DC,2029-02-02,4.3,2100,0.95,202-555-6720,1600 K St NW,Washington,DC,20006,2024-03-03,passed,Specializes in spinal rehab for accident-related injuries; strong fraud-monitoring protocols.
VND-012,repair_shop,Old Line Certified Auto,MD-SHOP-4421,MD,2028-07-10,3.4,500,0.87,240-555-3344,15000 Frederick Rd,Rockville,MD,20852,2024-10-01,conditional,Developing improved estimate-photo documentation; mentor shop pairing underway.
VND-013,medical_provider,Penn Trauma Recovery Clinic,MD-MED-4502,PA,2027-11-21,4.5,2500,0.97,412-555-5055,500 Forbes Ave,Pittsburgh,PA,15219,2024-04-20,passed,High-accuracy trauma assessments with integrated telehealth follow-ups.
VND-014,repair_shop,Arlington QuickGlass,MD-SHOP-6290,VA,2026-09-29,4.0,900,0.9,703-555-9912,3100 Columbia Pike,Arlington,VA,22204,2024-06-01,passed,Mobile glass service covering DC/MD/VA corridor; strong ADAS recalibration workflow.
VND-015,medical_provider,Chesapeake Regional Pain Clinic,MD-MED-3310,MD,2028-12-28,3.6,760,0.9,410-555-6611,210 St Paul St,Baltimore,MD,21202,2024-09-22,conditional,Pain-management group refining chart-keeping; follow-up audit scheduled in 45 days.
VND-016,repair_shop,Pittsburgh EV & Battery Tech,MD-SHOP-7322,PA,2027-05-17,4.8,4100,0.95,412-555-6001,3600 Penn Ave,Pittsburgh,PA,15201,2024-03-12,passed,Elite partner with advanced EV diagnostics and OEM-certified battery module repairs.
VND-017,medical_provider,VA Metro TeleRehab Group,MD-MED-1156,VA,2029-04-19,4.1,1800,0.96,571-555-7710,7700 Backlick Rd,Springfield,VA,22150,2024-02-25,passed,Tele-rehab sessions for soft-tissue injuries; extended evening scheduling.
VND-018,repair_shop,Capitol Hill Auto Service,MD-SHOP-2101,DC,2027-02-14,3.2,420,0.84,202-555-3308,600 8th St SE,Washington,DC,20003,2025-01-05,failed,Recent audit flagged estimate variance issues; corrective training scheduled immediately.
VND-019,medical_provider,Monongahela Orthopedic Sports Center,MD-MED-9983,PA,2026-10-10,4.0,1500,0.94,724-555-1920,1200 Water St,Pittsburgh,PA,15222,2024-04-04,passed,Sports medicine group specializing in post-impact joint assessments.
VND-020,repair_shop,NoVA Premier Collision,MD-SHOP-3319,VA,2026-06-16,4.4,3000,0.92,703-555-4402,5000 Duke St,Alexandria,VA,22304,2024-05-08,passed,High-volume collision center with OEM certifications for Honda and Subaru.
VND-021,medical_provider,MD Capital Injury Clinic,MD-MED-4205,MD,2029-07-14,4.2,2300,0.95,410-555-2311,200 Light St,Baltimore,MD,21202,2024-03-28,passed,Full-service injury clinic with rapid diagnostic imaging and strong insurer communication.
VND-022,repair_shop,PA RapidGlass Mobile,MD-SHOP-8410,PA,2027-09-05,3.3,520,0.85,717-555-8803,1800 Cameron St,Harrisburg,PA,17103,2024-10-12,conditional,Mobile-only glass service; improving calibration record-keeping with new SOP rollout.
VND-023,medical_provider,District TeleNeurology Group,MD-MED-7721,DC,2028-03-31,4.5,3200,0.98,202-555-9001,1900 M St NW,Washington,DC,20036,2024-02-12,passed,High-accuracy neuro evaluations via telehealth; regional hub for time-sensitive cases.
VND-024,repair_shop,Old Dominion FrameWorks,MD-SHOP-6620,VA,2026-12-22,3.2,350,0.82,571-555-2255,8400 Arlington Blvd,Fairfax,VA,22031,2024-12-28,failed,Audit identified structural measurement inconsistencies; full retraining plan initiated.
VND-000,repair_shop,Mid-Atlantic EV Collision,MD-SHOP-4123,MD,2027-04-30,4.2,1150,0.93,410-555-1923,4820 Pulaski Hwy,Baltimore,MD,21224,2024-12-12,passed,EV‑certified collision center with OEM aluminum repair credentials. Serves MD and nearby DC corridors.
VND-001,repair_shop,Beltway Glass & Body,MD-SHOP-8841,VA,2028-02-15,4.0,760,0.9,703-555-4430,11920 Fairfax Blvd,Fairfax,VA,22030,2025-02-03,passed,Glass and minor body repair with mobile service trucks. Supports DC and southern MD claims.
